SCRAPE_TIME,REQUEST_TIME,LISTING_NAME,LISTING_LINK,LISTING_USE,LISTING_ADDRESS,LISTING_DESCRIPTION,HAS_VIDEOS,HAS_VIRTUAL_TOUR,HAS_EMAIL,PRICE,PHONE_NUMBER,HAS_IMAGE,SPECIAL_TEXT
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,3005 Buckhead,https://www.apartments.com/3005-buckhead-atlanta-ga/tzqfblc/,Studio,"3005 Peachtree Rd NE, Atlanta, GA 30305","Dog & Cat Friendly, Fitness Center, Pool, Kitchen, Maintenance on site, Controlled Access",True,True,True,"$1,737 - 3,557",(470) 870-7791,True,1 Month Free
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Dunwoody Ridge,https://www.apartments.com/dunwoody-ridge-atlanta-ga/9wpvvg5/,,"7227 NE Peachtree Dunwoody Rd, Atlanta, GA 30328","Dog & Cat Friendly, Fitness Center, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets, Clubhouse",True,True,True,"$1,094 - 1,728",(844) 757-0487,True,
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Cortland at Phipps Plaza,https://www.apartments.com/cortland-at-phipps-plaza-atlanta-ga/s75p1h7/,Studio,"707 Park Ave NE, Atlanta, GA 30326","Dog & Cat Friendly, In Unit Washer & Dryer, Granite Countertops",False,True,True,"$1,322 - 2,457",(470) 944-5573,True,
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Ford Factory Lofts,https://www.apartments.com/ford-factory-lofts-atlanta-ga/kkp6k28/,,"699 Ponce De Leon Ave NE, Atlanta, GA 30308","Cat Friendly, Heat, Ceiling Fans, Controlled Access, Elevator, Laundry Facilities, Concierge",True,True,True,"$1,485 - 2,800",(470) 944-5875,True,Specials
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Calibre Woods,https://www.apartments.com/calibre-woods-atlanta-ga/6ghvfnr/,,"2075 Lavista Rd NE, Atlanta, GA 30329","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Walk-In Closets, Balcony, High-Speed Internet, Patio",True,True,True,"$1,533 - 2,109",(470) 944-6255,True,Discounts
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,MAA Briarcliff,https://www.apartments.com/maa-briarcliff-atlanta-ga/9yyrgl4/,,"500 Briarvista Way, Atlanta, GA 30329","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Walk-In Closets, High-Speed Internet, Gated, EV Charging",False,True,True,"$1,320 - 5,355",(470) 944-9574,True,1 Month Free
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,32 Hundred Lenox,https://www.apartments.com/32-hundred-lenox-atlanta-ga/jkyzsz4/,Studio,"3200 Lenox Rd NE, Atlanta, GA 30324","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Kitchen, In Unit Washer & Dryer, Clubhouse, Balcony",True,True,True,"$1,090 - 2,776",(470) 944-7296,True,Discounts
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Gateway South (Formerly Yorkminster Square),https://www.apartments.com/gateway-south-formerly-yorkminster-square-atlanta-ga/1nqlkn7/,,"2001 Sylvan Rd, Atlanta, GA 30310","Dog & Cat Friendly, Dishwasher, Refrigerator, Kitchen, Balcony, Range, Maintenance on site, Disposal",False,True,True,"$1,200 - 1,675",(470) 823-9227,True,
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Farrington Midtown,https://www.apartments.com/farrington-midtown-atlanta-ga/07g5143/,,"391 17th St NW, Atlanta, GA 30363","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Kitchen, In Unit Washer & Dryer, Walk-In Closets, Clubhouse",False,True,True,"$1,448 - 5,130",(470) 944-6464,True,
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Skyline ATL,https://www.apartments.com/skyline-atl-atlanta-ga/ftbf24s/,,"396 Piedmont Ave NE, Atlanta, GA 30308","Dog & Cat Friendly, Fitness Center, Pool, Kitchen, Walk-In Closets, Clubhouse, High-Speed Internet, Stainless Steel Appliances, Ceiling Fans",True,True,True,"$1,305 - 3,248",(470) 944-5073,True,Specials
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Garden Walk,https://www.apartments.com/garden-walk-atlanta-ga/fbvt37r/,,"934 Garden Walk Blvd, Atlanta, GA 30349","Dog & Cat Friendly, Pool, Dishwasher, Kitchen, Walk-In Closets, Clubhouse, Balcony, Range",False,True,True,"$930 - 1,870",(470) 431-1220,True,Specials
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Piedmont Pad Apartments,https://www.apartments.com/piedmont-pad-apartments-atlanta-ga/p65ssqs/,,"171 Auburn Ave NE, Atlanta, GA 30303","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Clubhouse",False,True,True,"$1,345 - 2,095",(470) 944-7451,True,Discounts
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Marq on Ponce,https://www.apartments.com/marq-on-ponce-atlanta-ga/5fnmpyp/,Studio,"144 Ponce de Leon Ave, Atlanta, GA 30308","Dog & Cat Friendly, Grill, Controlled Access, Gated, Furnished",True,True,True,"$1,159 - 3,339",(470) 944-3351,True,Specials
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Marchon,https://www.apartments.com/marchon-atlanta-ga/2t289k9/,Studio,"Grant St SE, Atlanta, GA 30312","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Maintenance on site, Microwave, Tub / Shower, Patio",True,True,True,"$1,235 - 1,993",(470) 944-7203,True,2 Months Free
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Lenox Place,https://www.apartments.com/lenox-place-atlanta-ga/wp3xcfk/,,"2572 Lenox Rd NE, Atlanta, GA 30324","Dog & Cat Friendly, Dishwasher, Refrigerator, Kitchen, Clubhouse, Balcony, Range, Maintenance on site",True,False,True,"$1,300 - 2,500",(470) 823-9686,True,Specials
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,The Hue Midtown,https://www.apartments.com/the-hue-midtown-atlanta-ga/lk86n5g/,Studio,"22 14th St NW, Atlanta, GA 30309","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer, Walk-In Closets, Clubhouse",True,True,True,"$1,787 - 5,110",(470) 344-0834,True,3 Months Free
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Cortland Uptown Buckhead,https://www.apartments.com/cortland-uptown-buckhead-atlanta-ga/qq75svy/,,"3707 Roswell Rd NE, Atlanta, GA 30342","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Kitchen, In Unit Washer & Dryer, Walk-In Closets, Clubhouse",False,True,True,"$1,230 - 1,599",(470) 944-6682,True,
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Trace,https://www.apartments.com/trace-atlanta-ga/468h0xh/,Studio,"782 Peachtree St NE, Atlanta, GA 30308","Dog & Cat Friendly, Fitness Center, Pool, Clubhouse, Maintenance on site, Controlled Access, Concierge",True,True,True,"$1,630 - 5,319",(833) 972-3398,True,1 Month Free
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,District at Vinings,https://www.apartments.com/district-at-vinings-atlanta-ga/66c2xgv/,,"2800 Paces Ferry Rd, Atlanta, GA 30339","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, Clubhouse, Balcony, Heat",True,True,True,"$1,280 - 6,125",(470) 944-3211,True,
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Rio At Lenox,https://www.apartments.com/rio-at-lenox-atlanta-ga/nhmd47n/,Studio,"2716 Buford Hwy, Atlanta, GA 30324","Dog & Cat Friendly, Pool, Dishwasher, Refrigerator, Kitchen, Walk-In Closets, Balcony, Range",True,False,True,"$1,125 - 1,700",(470) 460-7856,True,Specials
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Skyline West,https://www.apartments.com/skyline-west-atlanta-ga/swzbyl5/,Studio,"1390 Northside Dr, Atlanta, GA 30318","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, Walk-In Closets, Balcony",True,True,True,"$1,359 - 3,479",(470) 944-5362,True,Discounts
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Millworks Apartments,https://www.apartments.com/millworks-apartments-atlanta-ga/fc5pl2t/,Studio,"1888 Emery St NW, Atlanta, GA 30318","Dog & Cat Friendly, Pool, Walk-In Closets",True,True,True,"$1,370 - 2,965",(470) 480-0311,True,Discounts
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Cortland at the Battery Atlanta,https://www.apartments.com/cortland-at-the-battery-atlanta-atlanta-ga/v5237re/,,"900 Battery Ave SE, Atlanta, GA 30339","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Walk-In Closets, High-Speed Internet, Stainless Steel Appliances",True,True,True,"$1,724 - 4,072",(470) 279-6005,True,1 Month Free
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,The Dagny Midtown Apartments,https://www.apartments.com/the-dagny-midtown-apartments-atlanta-ga/pfsrw7t/,,"888 Juniper St NE, Atlanta, GA 30309","Dog & Cat Friendly, Fitness Center, Pool, Kitchen, In Unit Washer & Dryer, Walk-In Closets, Clubhouse, Stainless Steel Appliances, Business Center",True,True,True,"$2,038 - 7,748",(470) 823-7233,True,1 Month Free
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Solstice Morningside Apartments,https://www.apartments.com/solstice-morningside-apartments-atlanta-ga/hhx38z2/,Studio,"1989 Cheshire Bridge Rd NE, Atlanta, GA 30324","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Controlled Access, Elevator, EV Charging",True,True,True,"$1,365 - 2,670",(470) 944-7989,True,Specials
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Sentral West Midtown at Star Metals,https://www.apartments.com/sentral-west-midtown-at-star-metals-atlanta-ga/6l8ljht/,Studio,"1055 Brady Ave, Atlanta, GA 30318","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",True,True,True,"$1,443 - 3,297",(470) 944-7120,True,2 Months Free
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,The Irby,https://www.apartments.com/the-irby-atlanta-ga/fffnhjs/,Studio,"65 Irby Ave, Atlanta, GA 30305","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Walk-In Closets, Elevator, Smoke Free",False,True,True,"$1,610 - 4,570",(470) 823-7072,True,1 Month Free
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Seven88,https://www.apartments.com/seven88-atlanta-ga/tgq5pj9/,Studio,"788 Marietta St NW, Atlanta, GA 30318","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",True,True,True,"$1,585 - 7,203",(470) 264-3598,True,
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Tailor O4W,https://www.apartments.com/tailor-o4w-atlanta-ga/09tx720/,Studio,"525 NE North Ave, Atlanta, GA 30308","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",True,True,True,"$1,668 - 5,381",(470) 944-5228,True,1 Month Free
2024-01-31 11:17 AM EST,2024-01-31 11:31 AM EST,Generation Atlanta,https://www.apartments.com/generation-atlanta-atlanta-ga/y22d57t/,Studio,"369 Centennial Olympic Park Dr NW, Atlanta, GA 30313","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer, Walk-In Closets, Clubhouse",True,True,True,"$1,534 - 3,865",(470) 944-6199,True,1 Month Free
