,Duration,Pulse,Maxpulse,Calories
51,80,123,146,643.1
52,60,106,130,263.0
53,60,118,151,486.0
54,30,136,175,238.0
55,60,121,146,450.7
56,60,118,121,413.0
57,45,115,144,305.0
58,20,153,172,226.4
59,45,123,152,321.0
60,210,108,160,1376.0
61,160,110,137,1034.4
62,160,109,135,853.0
63,45,118,141,341.0
64,20,110,130,131.4
65,180,90,130,800.4
66,150,105,135,873.4
67,150,107,130,816.0
68,20,106,136,110.4
69,300,108,143,1500.2
70,150,97,129,1115.0
71,60,109,153,387.6
72,90,100,127,700.0
73,150,97,127,953.2
74,45,114,146,304.0
75,90,98,125,563.2
76,45,105,134,251.0
77,45,110,141,300.0
78,120,100,130,500.4
79,270,100,131,1729.0
80,30,159,182,319.2
81,45,149,169,344.0
82,30,103,139,151.1
83,120,100,130,500.0
84,45,100,120,225.3
85,30,151,170,300.0
86,45,102,136,234.0
87,120,100,157,1000.1
88,45,129,103,242.0
89,20,83,107,50.3
90,180,101,127,600.1
91,45,107,137,
92,30,90,107,105.3
93,15,80,100,50.5
94,20,150,171,127.4
95,20,151,168,229.4
96,30,95,128,128.2
97,25,152,168,244.2
98,30,109,131,188.2
99,90,93,124,604.1
100,20,95,112,77.7
