,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days
,1,BitcoinBTC,"$41,708.70",0.06%,0.28%,12.30%,"$816.12B$816,124,179,500","$29,787,612,566713,980 BTC","19,561,693 BTC",
,2,EthereumETH,"$2,205.76",0.00%,1.20%,9.12%,"$265.34B$265,335,978,100","$12,632,556,9975,724,124 ETH","120,230,296 ETH",
,3,Tether USDtUSDT,$0.9998,0.03%,0.06%,0.03%,"$89.8B$89,797,138,213","$62,201,688,03362,213,449,014 USDT","89,814,116,890 USDT",
,4,BNBBNB,$229.79,0.05%,0.47%,0.81%,"$34.82B$34,817,947,764","$1,896,812,3088,264,205 BNB","151,698,017 BNB",
,5,XRPXRP,$0.6114,0.33%,0.32%,0.96%,"$32.95B$32,948,759,778","$1,675,389,1282,740,143,409 XRP","53,888,571,585 XRP",
,6,SolanaSOL,$60.34,0.34%,1.11%,8.10%,"$25.6B$25,604,125,001","$1,856,766,06330,773,229 SOL","424,351,579 SOL",
,7,USDCUSDC,$0.9998,0.02%,0.01%,0.02%,"$24.27B$24,269,621,933","$6,242,996,6216,244,334,912 USDC","24,274,824,535 USDC",
,8,CardanoADA,$0.3993,0.36%,0.87%,6.49%,"$14.1B$14,101,862,924","$439,657,5331,100,989,403 ADA","35,313,853,340 ADA",
,9,DogecoinDOGE,$0.08837,0.18%,1.22%,13.96%,"$12.56B$12,557,697,561","$1,052,042,03111,905,290,551 DOGE","142,107,476,384 DOGE",
,10,TRONTRX,$0.1028,0.34%,1.14%,1.10%,"$9.1B$9,101,112,538","$276,711,8682,691,025,161 TRX","88,508,393,276 TRX",
,,ChainlinkLINK,$15.29,
,,ToncoinTON,$2.36,
,,AvalancheAVAX,$22.06,
,,PolygonMATIC,$0.79,
,,PolkadotDOT,$5.54,
,,DaiDAI,$1.00,
,,LitecoinLTC,$71.97,
,,Shiba InuSHIB,$0.00,
,,Bitcoin CashBCH,$239.43,
,,CosmosATOM,$9.55,
,,UniswapUNI,$6.01,
,,OKBOKB,$57.76,
,,UNUS SED LEOLEO,$3.72,
,,StellarXLM,$0.12,
,,MoneroXMR,$168.66,
,,KaspaKAS,$0.14,
,,TrueUSDTUSD,$1.00,
,,Ethereum ClassicETC,$19.50,
,,CronosCRO,$0.09,
,,Internet ComputerICP,$4.99,
,,NEAR ProtocolNEAR,$2.19,
,,FilecoinFIL,$4.59,
,,HederaHBAR,$0.06,
,,THORChainRUNE,$6.26,
,,Lido DAOLDO,$2.32,
,,AptosAPT,$7.41,
,,ImmutableIMX,$1.43,
,,MantleMNT,$0.57,
,,VeChainVET,$0.02,
,,BUSDBUSD,$1.00,
,,StacksSTX,$1.12,
,,OptimismOP,$1.72,
,,FTX TokenFTT,$4.39,
,,The GraphGRT,$0.15,
,,AaveAAVE,$96.30,
,,Terra ClassicLUNC,$0.00,
,,ArbitrumARB,$1.06,
,,InjectiveINJ,$16.10,
,,MakerMKR,$1459.63,
,,RenderRNDR,$3.56,
,,MultiversXEGLD,$49.73,
,,CelestiaTIA,$8.51,
,,QuantQNT,$100.63,
,,AlgorandALGO,$0.15,
,,FlowFLOW,$0.80,
,,Theta NetworkTHETA,$1.12,
,,First Digital USDFDUSD,$1.00,
,,SynthetixSNX,$3.56,
,,ORDIORDI,$49.08,
,,Bitcoin SVBSV,$49.95,
,,IOTAIOTA,$0.32,
,,The SandboxSAND,$0.44,
,,Axie InfinityAXS,$6.97,
,,KuCoin TokenKCS,$9.45,
,,FantomFTM,$0.32,
,,DecentralandMANA,$0.46,
,,NeoNEO,$11.87,
,,TezosXTZ,$0.86,
,,KavaKAVA,$0.81,
,,EOSEOS,$0.72,
,,GalaGALA,$0.03,
,,MinaMINA,$0.73,
,,ConfluxCFX,$0.21,
,,USDDUSDD,$1.00,
,,Bitget TokenBGB,$0.52,
,,TerraLUNA,$1.21,
,,XDC NetworkXDC,$0.05,
,,KlaytnKLAY,$0.20,
,,Frax ShareFXS,$8.72,
,,SuiSUI,$0.63,
,,SeiSEI,$0.29,
,,BlurBLUR,$0.55,
,,Rocket PoolRPL,$30.62,
,,PancakeSwapCAKE,$2.34,
,,eCashXEC,$0.00,
,,ChilizCHZ,$0.08,
,,ApeCoinAPE,$1.61,
,,PepePEPE,$0.00,
,,BeamBEAM,$0.01,
,,dYdX (ethDYDX)ETHDYDX,$3.04,
,,Oasis NetworkROSE,$0.08,
,,CasperCSPR,$0.05,
,,Curve DAO TokenCRV,$0.59,
,,ArweaveAR,$8.20,
,,GnosisGNO,$197.05,
,,GasGAS,$7.77,
,,Tether GoldXAUt,$2029.77,
,,TerraClassicUSDUSTC,$0.06,
,,ZcashZEC,$30.63,
,,Trust Wallet TokenTWT,$1.19,
,101,BitTorrent (New)BTT,$0.0...04903,0.36%,1.99%,8.05%,"$466.45M$466,453,085","$63,744,724130,019,751,973,037 BTT","951,421,714,286,000 BTT",
,102,PAX GoldPAXG,"$2,016.16",0.25%,1.34%,0.93%,"$465.81M$465,813,888","$9,916,5024,919 PAXG","231,040 PAXG",
,103,GMXGMX,$49.62,0.88%,5.31%,1.43%,"$459.24M$459,241,688","$29,612,621596,771 GMX","9,254,910 GMX",
,104,NexoNEXO,$0.8107,0.35%,0.24%,9.25%,"$454M$453,998,717","$14,923,61518,408,036 NEXO","560,000,011 NEXO",
,105,Huobi TokenHT,$2.77,0.15%,1.51%,0.45%,"$450.09M$450,091,209","$14,908,5795,373,747 HT","162,233,844 HT",
,106,Pax DollarUSDP,$0.993,0.09%,0.35%,0.10%,"$443.53M$443,525,550","$2,469,5812,486,923 USDP","446,640,157 USDP",
,107,Fetch.aiFET,$0.5223,0.49%,0.79%,0.53%,"$430.43M$430,429,367","$161,810,333309,775,960 FET","824,030,630 FET",
,108,GateTokenGT,$4.20,0.30%,2.17%,0.37%,"$416.57M$416,573,979","$1,588,884378,225 GT","99,163,102 GT",
,109,FlareFLR,$0.01431,0.10%,1.16%,22.36%,"$411.7M$411,704,789","$76,148,7315,321,441,144 FLR","28,770,838,185 FLR",
,110,aelfELF,$0.5885,0.25%,7.75%,36.71%,"$413.33M$413,325,662","$55,213,39193,823,655 ELF","702,360,848 ELF",
,,WOO NetworkWOO,$0.23,
,,STEPNGMT,$0.29,
,,CompoundCOMP,$50.37,
,,IlluviumILV,$107.25,
,,ZilliqaZIL,$0.02,
,,HeliumHNT,$2.75,
,,Akash NetworkAKT,$1.75,
,,IoTeXIOTX,$0.04,
,,1inch Network1INCH,$0.36,
,,AstarASTR,$0.07,
,,SingularityNETAGIX,$0.30,
,,DashDASH,$31.82,
,,FLOKIFLOKI,$0.00,
,,MemecoinMEME,$0.04,
,,Basic Attention TokenBAT,$0.24,
,,NEMXEM,$0.04,
,,SiacoinSC,$0.01,
,,0x ProtocolZRX,$0.42,
,,OsmosisOSMO,$0.71,
,,Convex FinanceCVX,$3.75,
,,APENFTNFT,$0.00,
,,StorjSTORJ,$0.86,
,,QtumQTUM,$3.08,
,,AxelarAXL,$0.64,
,,Mask NetworkMASK,$3.83,
,,SushiSwapSUSHI,$1.35,
,,EthereumPoWETHW,$2.91,
,,Enjin CoinENJ,$0.31,
,,LoopringLRC,$0.23,
,,Ocean ProtocolOCEAN,$0.55,
,,Theta FuelTFUEL,$0.05,
,,SafePalSFP,$0.71,
,,CeloCELO,$0.57,
,,SuperVerseSUPER,$0.66,
,,HoloHOT,$0.00,
,,Bitcoin GoldBTG,$16.60,
,,MX TOKENMX,$2.89,
,,WorldcoinWLD,$2.40,
,,AnkrANKR,$0.03,
,,RavencoinRVN,$0.02,
,,yearn.financeYFI,$8417.03,
,,JUSTJST,$0.03,
,,JasmyCoinJASMY,$0.01,
,,ChiaXCH,$29.55,
,,Ethereum Name ServiceENS,$8.98,
,,AudiusAUDIO,$0.22,
,,ssv.networkSSV,$26.36,
,,ICONICX,$0.26,
