,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days
,1,BitcoinBTC,"$40,712.56",0.04%,3.28%,9.16%,"$796.69B$796,688,794,182","$19,492,175,304478,577 BTC","19,560,512 BTC",
,2,EthereumETH,"$2,218.45",0.21%,2.66%,8.51%,"$266.74B$266,741,130,616","$9,134,887,9624,117,532 ETH","120,233,028 ETH",
,3,Tether USDtUSDT,$1.00,0.01%,0.00%,0.00%,"$89.67B$89,673,555,419","$36,299,088,44536,288,581,628 USDT","89,647,599,294 USDT",
,4,BNBBNB,$228.77,0.23%,0.07%,0.12%,"$34.74B$34,738,792,254","$707,443,0963,089,281 BNB","151,698,245 BNB",
,5,XRPXRP,$0.6293,0.18%,1.68%,3.12%,"$33.91B$33,909,600,818","$1,106,501,3911,758,433,540 XRP","53,888,571,585 XRP",
,6,SolanaSOL,$64.69,0.35%,0.86%,13.89%,"$27.45B$27,450,995,026","$1,301,323,94920,115,644 SOL","424,332,799 SOL",
,7,USDCUSDC,$0.9999,0.00%,0.01%,0.01%,"$24.51B$24,507,879,982","$3,971,601,4503,971,924,055 USDC","24,509,870,702 USDC",
,8,CardanoADA,$0.4061,0.08%,2.24%,5.55%,"$14.34B$14,338,849,317","$331,997,692817,530,953 ADA","35,308,839,255 ADA",
,9,DogecoinDOGE,$0.08693,0.26%,1.24%,11.08%,"$12.35B$12,351,513,374","$560,869,0036,452,188,723 DOGE","142,090,746,384 DOGE",
,10,TRONTRX,$0.1037,0.01%,0.20%,2.87%,"$9.18B$9,176,492,912","$212,726,3502,052,002,872 TRX","88,518,370,040 TRX",
,,ChainlinkLINK,$16.14,
,,ToncoinTON,$2.44,
,,AvalancheAVAX,$22.34,
,,PolygonMATIC,$0.82,
,,PolkadotDOT,$5.62,
,,LitecoinLTC,$73.94,
,,DaiDAI,$1.00,
,,Shiba InuSHIB,$0.00,
,,Bitcoin CashBCH,$250.56,
,,CosmosATOM,$9.66,
,,UniswapUNI,$6.17,
,,OKBOKB,$59.27,
,,UNUS SED LEOLEO,$3.73,
,,StellarXLM,$0.12,
,,MoneroXMR,$173.26,
,,KaspaKAS,$0.14,
,,TrueUSDTUSD,$1.00,
,,Ethereum ClassicETC,$20.10,
,,THORChainRUNE,$7.17,
,,CronosCRO,$0.09,
,,FilecoinFIL,$4.68,
,,Lido DAOLDO,$2.48,
,,Internet ComputerICP,$4.81,
,,HederaHBAR,$0.06,
,,NEAR ProtocolNEAR,$2.10,
,,AptosAPT,$7.44,
,,ImmutableIMX,$1.43,
,,MantleMNT,$0.55,
,,VeChainVET,$0.02,
,,BUSDBUSD,$1.00,
,,FTX TokenFTT,$4.90,
,,OptimismOP,$1.75,
,,AaveAAVE,$101.73,
,,InjectiveINJ,$17.51,
,,ArbitrumARB,$1.12,
,,RenderRNDR,$3.82,
,,The GraphGRT,$0.15,
,,CelestiaTIA,$9.49,
,,MakerMKR,$1512.22,
,,MultiversXEGLD,$50.58,
,,AlgorandALGO,$0.16,
,,Terra ClassicLUNC,$0.00,
,,StacksSTX,$0.86,
,,QuantQNT,$101.67,
,,SynthetixSNX,$3.82,
,,Theta NetworkTHETA,$1.08,
,,IOTAIOTA,$0.36,
,,Bitcoin SVBSV,$53.14,
,,FlowFLOW,$0.70,
,,First Digital USDFDUSD,$1.00,
,,The SandboxSAND,$0.44,
,,FantomFTM,$0.32,
,,Axie InfinityAXS,$6.87,
,,ORDIORDI,$42.21,
,,NeoNEO,$12.36,
,,DecentralandMANA,$0.46,
,,TezosXTZ,$0.86,
,,KavaKAVA,$0.82,
,,KuCoin TokenKCS,$8.22,
,,EOSEOS,$0.71,
,,MinaMINA,$0.75,
,,Bitget TokenBGB,$0.52,
,,GalaGALA,$0.03,
,,USDDUSDD,$0.99,
,,XDC NetworkXDC,$0.05,
,,KlaytnKLAY,$0.20,
,,Frax ShareFXS,$8.71,
,,SuiSUI,$0.63,
,,SeiSEI,$0.30,
,,BlurBLUR,$0.56,
,,dYdX (ethDYDX)ETHDYDX,$3.42,
,,eCashXEC,$0.00,
,,TerraLUNA,$1.04,
,,Rocket PoolRPL,$30.63,
,,ApeCoinAPE,$1.64,
,,ChilizCHZ,$0.08,
,,ConfluxCFX,$0.17,
,,PancakeSwapCAKE,$2.39,
,,Oasis NetworkROSE,$0.09,
,,BeamBEAM,$0.01,
,,TerraClassicUSDUSTC,$0.06,
,,Curve DAO TokenCRV,$0.61,
,,GnosisGNO,$208.28,
,,GasGAS,$8.22,
,,ArweaveAR,$8.19,
,,Trust Wallet TokenTWT,$1.24,
,,PepePEPE,$0.00,
,,ZcashZEC,$31.50,
,,Tether GoldXAUt,$2080.56,
,,GMXGMX,$52.97,
