,Country / Dependency,Population,% ofworld,Date,Source (official or fromthe United Nations)
0,World,"8,074,600,000",100%,30 Nov 2023,UN projection[3]
1,China,"1,411,750,000",17.5%,31 Dec 2022,Official estimate[4]
2,India,"1,392,329,000",17.2%,1 Mar 2023,Official projection[5]
3,United States,"334,233,854",4.1%,1 Jan 2023,Official estimate[7]
4,Indonesia,"279,118,866",3.5%,1 Jul 2023,National annual projection[8]
5,Pakistan,"241,499,431",3.0%,1 Mar 2023,2023 census result[9]
6,Nigeria,"216,783,400",2.7%,21 Mar 2022,Official projection[10]
7,Brazil,"203,062,512",2.5%,1 Aug 2022,2022 census result[11]
8,Bangladesh,"169,828,911",2.1%,14 Jun 2022,2022 census result[12]
9,Russia,"146,424,729",1.8%,1 Jan 2023,Official estimate[13]
10,Mexico,"129,202,482",1.6%,30 Jun 2023,National quarterly estimate[14]
11,Japan,"124,340,000",1.5%,1 Oct 2023,Official estimate[15]
12,Philippines,"112,892,781",1.4%,1 Jul 2023,Official projection[16]
13,Ethiopia,"107,334,000",1.3%,1 Jul 2023,National annual projection[17]
14,Egypt,"105,615,000",1.3%,30 Nov 2023,National population clock[18]
15,Vietnam,"100,000,000",1.2%,Apr 2023,Official estimate[19]
16,DR Congo,"95,370,000",1.2%,1 Jul 2019,Official figure[20]
17,Turkey,"85,279,553",1.1%,31 Dec 2022,Official estimate[21]
18,Germany,"84,482,267",1.0%,30 Jun 2023,National quarterly estimate[22]
19,Iran,"84,038,000",1.0%,1 Jan 2020,Official estimate[23]
20,Thailand,"68,263,022",0.8%,1 Jul 2021,Official estimate[24]
21,France,"68,184,000",0.8%,1 Sep 2023,Monthly national estimate[25]
22,United Kingdom,"67,026,292",0.8%,30 Jun 2021,Official estimate[26]
23,South Africa,"62,027,503",0.8%,2 Feb 2022,2022 census result[27]
24,Tanzania,"61,741,120",0.8%,23 Aug 2022,2022 census result[28]
25,Italy,"58,780,965",0.7%,31 Jul 2023,Monthly national estimate[29]
26,Myanmar,"55,770,232",0.7%,1 Jul 2022,National annual projection[30]
27,Colombia,"52,215,503",0.6%,30 Jun 2023,Official projection[31]
28,Kenya,"51,526,000",0.6%,1 Jan 2023,Official projection[32]
29,South Korea,"51,439,038",0.6%,31 Dec 2022,Official estimate[33]
30,Spain,"48,345,223",0.6%,1 Jul 2023,Official estimate[34]
31,Argentina,"46,654,581",0.6%,1 Jul 2023,National annual projection[35]
32,Algeria,"45,400,000",0.6%,1 Jan 2022,Official estimate[36]
33,Iraq,"43,324,000",0.5%,1 Jul 2023,Official estimate[37]
34,Uganda,"42,885,900",0.5%,1 Jul 2021,Official projection[38]
35,Sudan,"41,984,500",0.5%,1 Jul 2018,Official projection[39]
36,Ukraine,"41,130,432",0.5%,1 Feb 2022,National monthly estimate[40]
37,Canada,"40,097,761",0.5%,1 Oct 2023,National quarterly estimate[41]
38,Poland,"37,677,000",0.5%,30 Sep 2023,National monthly estimate[42]
39,Morocco,"37,022,000",0.5%,1 Jul 2023,Official projection[43]
40,Uzbekistan,"36,599,764",0.5%,1 Oct 2023,National quarterly estimate[44]
