Country,Capital City,Population
Åland,Mariehamn,"11,750"
Albania,Tirana,"418,495"
Andorra,Andorra la Vella,"22,886"
Austria,Vienna,"1,911,191"
Belarus,Minsk,"2,018,281"
Belgium,Brussels,"1,175,173"
Bosnia and Herzegovina,Sarajevo,"275,524"
Bulgaria,Sofia,"1,221,785"
Croatia,Zagreb,"790,017"
Czechia,Prague,"1,301,432"
Denmark,Copenhagen,"638,790"
Estonia,Tallinn,"437,817"
Faroe Islands,Tórshavn,"13,888"
Finland,Helsinki,"656,920"
France,Paris,"2,206,488"
Germany,Berlin,"3,664,088"
Gibraltar,Gibraltar,"34,003"
Greece,Athens,"664,046"
Guernsey,Saint Peter Port,"19,354"
Hungary,Budapest,"1,737,026"
Iceland,Reykjavík,"129,964"
Ireland,Dublin,"544,107"
Isle of Man,Douglas,"27,938"
Italy,Rome,"2,759,629"
Jersey,Saint Helier,"35,822"
Kosovo,Pristina,"211,129"
Latvia,Riga,"614,618"
Liechtenstein,Vaduz,"5,774"
Lithuania,Vilnius,"546,155"
Luxembourg,Luxembourg,"128,494"
Malta,Valletta,"5,876"
Moldova,Chisinau,"339,079"
Monaco,Monaco,"31,109"
Montenegro,Podgorica,"185,937"
Netherlands,Amsterdam,"872,680"
North Macedonia,Skopje,"546,824"
Norway,Oslo,"681,067"
Poland,Warsaw,"1,793,579"
Portugal,Lisbon,"505,526"
Romania,Bucharest,"1,823,526"
Russia,Moscow,"12,506,468"
San Marino,San Marino,"4,127"
Serbia,Belgrade,"1,387,422"
Slovakia,Bratislava,"435,296"
Slovenia,Ljubljana,"285,604"
Spain,Madrid,"3,320,069"
Svalbard,Longyearbyen,"2,144"
Sweden,Stockholm,"935,619"
Switzerland,Bern,"134,290"
Ukraine,Kyiv,"2,962,180"
United Kingdom,London,"8,961,989"
Vatican,Vatican City,453
Åland,Mariehamn,"11,750"
Albania,Tirana,"418,495"
Andorra,Andorra la Vella,"22,886"
Austria,Vienna,"1,911,191"
Belarus,Minsk,"2,018,281"
Belgium,Brussels,"1,175,173"
Bosnia and Herzegovina,Sarajevo,"275,524"
Bulgaria,Sofia,"1,221,785"
Croatia,Zagreb,"790,017"
Czechia,Prague,"1,301,432"
Denmark,Copenhagen,"638,790"
Estonia,Tallinn,"437,817"
