Link to Ambiente profile page,Hall,Stand,Company Name,Company Website,Country of Origin,General contact email,Our contact persons,Email contact persons,Role,LinkedIn Page,Keywords
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/1dea-me-production-llc.html,4.2,H55,1DEA ME PRODUCTION LLC,,Ukraine,nf@1dea.me,,,,,"['puzzle', '3dsculpturepuzzle', 'eco', 'cardboardart', 'gift']"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/2m2-group-ab.html,3.0,G01,2M2 Group AB,www.2m2.se,Sweden,johan@2m2.se,,,,,['UPCYCLE']
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/3c-home-ltd.html,10.4,F30,3&amp;C Home Ltd.,www.3andchome.com,Hong Kong,clai@3andchome.com,,,,,[]
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/bueno-hermanos-sa.html,8.0,C69,"3 CLAVELES - BUENO HERMANOS, S.A.",www.buenohermanos.com,Spain,exportacion@buenohermanos.com,,,,linkedin,"['Professional kitchen shears', '3 Claveles', 'Shears', 'Scissors', 'Knives']"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/3dc---intelligent-nature-lda.html,3.1,B57,"3DC - Intelligent Nature, Lda.",http://www.3dcork.com/,Portugal,info@3dcork.com,['Sara Nunes'],"['info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in', 'info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in']",['Export'],,"['ecological', 'natural', 'recyclable', 'cork homeware', 'cork']"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/3d-dekoratif-esya-san-ve-tic-ltd-sti.html,12.0,A33,3D Dekoratif Esya San. ve Tic. Ltd. Sti.,www.3dglassware.com,Türkiye,sales@3dglassware.com,['FULYA DONMEZ'],"['info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in', 'info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in']",['Export'],,"['Tabletop', 'Tableware', 'Dinnerware', 'Glassware', 'Serveware']"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/3t-supplies-ag-peach-division.html,FOR.1,A40,"3T Supplies AG, Peach Division",www.peach.info,Switzerland,info@peach.info,"['René  Koller', 'None None']","['info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in', 'info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in']","['Sales ', 'Purchasing']",,"['Tintenpatronen', 'Tonerpatronen', 'Laminierger&auml;te', 'Aktenvernichter', 'Bindeger&auml;te']"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/4-seasons-collections.html,10.4,B24,4 Seasons Collections,,India,imran@4seasonscollections.com,,,,,"['Glass vases, Glass t-light holders', 'Glass candle pillar holders, Glass X-mas ornaments', 'Glass lanterns, Glass coffee tables', 'Glass domes with wooden platter', 'Glass hurricanes with wooden stand']"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/4everyware-bv.html,9.3,C81,4Everyware B.V.,www.4everyware.com,Netherlands,,['Onno Jansen'],"['info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in', 'info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in']",['Sales '],linkedin,"['overstock', 'sourcing', 'household items', 'cookware', 'trade']"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/5g-group-plastik-metal-sanayi-ve-ticaret-limited-sirketi.html,9.3,D98,5g Group Plastik Metal Sanayi Ve Ticaret Limited Sirketi,,Türkiye,export@elmop.com,,,,,"['cleaningproducts', 'mopwiperhandle', 'housewarehousehold', 'dishrackbathrackvegetablerack', 'kicthenware']"
