title,video_url,views,video_age,CLEAN_VIEMS,date_published
How To Upgrade a Production App to .NET 8,https://www.youtube.com/watch?v=DjeJyyIdWi8,2.8K views,2 days ago,2800,2023-12-11
Why Is Microsoft Retiring Visual Studio for Mac?,https://www.youtube.com/watch?v=beXH4ezBUi0,18K views,6 days ago,18000,2023-12-07
Primary Constructors in .NET 8,https://www.youtube.com/watch?v=y3--fmLLmQA,15K views,9 days ago,15000,2023-12-04
How Do I Establish Best Practices for a Team of Developers?,https://www.youtube.com/watch?v=mJ3ECU91whI,3.4K views,13 days ago,3400,2023-11-30
.NET 8 Adds Shuffle to Random for Arrays and Spans,https://www.youtube.com/watch?v=hsrfLtu_cVk,5.3K views,2 weeks ago,5300,2023-11-29
Dependency Injection Updates in .NET - Keyed Implementations,https://www.youtube.com/watch?v=mTRvRZmlHT4,16K views,2 weeks ago,16000,2023-11-29
How Do I Start My Job Well? What Do I do First?,https://www.youtube.com/watch?v=tgifGuTZQgY,3.9K views,2 weeks ago,3900,2023-11-29
Data Annotation Updates in .NET 8,https://www.youtube.com/watch?v=SCDiuvK-GI8,10K views,3 weeks ago,10000,2023-11-22
Why Can't I Get A Job As A Software Developer?,https://www.youtube.com/watch?v=ZH_5VekH5A4,7.1K views,3 weeks ago,7100,2023-11-22
"Intro to Blazor in .NET 8 - SSR, Stream Rendering, Auto, and more...",https://www.youtube.com/watch?v=walv3nLTJ5g,33K views,4 weeks ago,33000,2023-11-15
".NET 8 and C# 12 Launch - What is New, What is Improved, and What is Supported",https://www.youtube.com/watch?v=mT70wtkE7DI,59K views,1 month ago,59000,
Why Should I Upgrade My .NET Application?,https://www.youtube.com/watch?v=JSsbDEzkGJA,7.2K views,1 month ago,7200,
Understanding SQL Auto-Incrementing Identity in 10 Minutes or Less,https://www.youtube.com/watch?v=h9ksr2ucNck,4.9K views,1 month ago,4900,
What Are The Steps To Quickly Debugging An Application?,https://www.youtube.com/watch?v=ek1gIYfIVaQ,5.4K views,1 month ago,5400,
C# Data Access: Complex Objects with Dapper,https://www.youtube.com/watch?v=n7mGEh4_06c,15K views,1 month ago,15000,
How Do I Estimate Tasks Correctly? How Do I Estimate Time Accurately?,https://www.youtube.com/watch?v=zPAC1CFdW9s,5.6K views,1 month ago,5600,
The Dictionary Data Structure in C# in 10 Minutes or Less,https://www.youtube.com/watch?v=R94JHIXdTk0,17K views,1 month ago,17000,
How Do You Avoid Feeling Overwhelmed? What If You Are In Over Your Head?,https://www.youtube.com/watch?v=7GWSF7Nsl9I,5.7K views,1 month ago,5700,
Is Global Demand for Developers Declining?,https://www.youtube.com/watch?v=jJtx9S3YZKQ,13K views,2 months ago,13000,
How to Fix the Inconsistent Accessibility Error in C#,https://www.youtube.com/watch?v=FBKMlasAZ9I,5.2K views,2 months ago,5200,
How Much Do I Lose When I Change Languages?,https://www.youtube.com/watch?v=v_I4G1reW-4,4.6K views,2 months ago,4600,
Resolution to the Unity Crisis,https://www.youtube.com/watch?v=omdIJi8_xp4,4.6K views,2 months ago,4600,
How Can I Succeed In A Crisis?,https://www.youtube.com/watch?v=TdknqbhpCkw,3.2K views,2 months ago,3200,
What is the Future of Software Development?,https://www.youtube.com/watch?v=y_N34EakNl0,13K views,2 months ago,13000,
Unity Meltdown - What Happened and What Now,https://www.youtube.com/watch?v=Aa5Ofw0Pzh4,14K views,2 months ago,14000,
Solution: Full Stack Development Challenge in C#,https://www.youtube.com/watch?v=XuugKbEiFDg,8.4K views,2 months ago,8400,
How Do I Become a Consultant with Kevin Griffin,https://www.youtube.com/watch?v=bSyLseW6s7I,3.8K views,2 months ago,3800,
