title,video_url,views,date_published
String Functions in MySQL | Intermediate MySQL Series,https://www.youtube.com/watch?v=KRXSJb9ql1Y,3.3K views,"30 Jan, 2024"
Unions in MySQL | Intermediate MySQL,https://www.youtube.com/watch?v=iTQW_nDp938,4.4K views,"23 Jan, 2024"
Joins in MySQL | Intermediate MySQL,https://www.youtube.com/watch?v=lXQzD09BOH0,18K views,"20 Jan, 2024"
Solving VERY HARD SQL Interview Questions on Analyst Builder,https://www.youtube.com/watch?v=KZKizyBS9YM,7K views,"13 Jan, 2024"
Solving HARD SQL Interview Questions on Analyst Builder,https://www.youtube.com/watch?v=I0_ca6iyo6w,14K views,"13 Jan, 2024"
Solving Medium SQL Interview Questions on Analyst Builder,https://www.youtube.com/watch?v=fT-8mRf_-Hk,14K views,"06 Jan, 2024"
Solving Easy SQL Interview Questions on Analyst Builder,https://www.youtube.com/watch?v=ZHaYOC0H5KE,22K views,"03 Jan, 2024"
How I Would Become a Data Analyst if I had to Start Over in 2024 | 6 Month Plan,https://www.youtube.com/watch?v=K0-8G3DgjA4,152K views,"03 Jan, 2024"
Limit + Aliasing in MySQL | MySQL Beginner Series,https://www.youtube.com/watch?v=ZnAydTqCtFU,7.5K views,"03 Jan, 2024"
Analyst Builder Full Launch! | The Learning Platform Built for Data Analysts,https://www.youtube.com/watch?v=XD1ul5fpnGI,14K views,"03 Jan, 2024"
Having vs Where in MySQL | Beginner MySQL Series,https://www.youtube.com/watch?v=dCNjUOc1cBY,7K views,"03 Jan, 2024"
Group By + Order By in MySQL | Beginner MySQL Series,https://www.youtube.com/watch?v=zgYqUP_PhQo,6.6K views,"03 Dec, 2023"
Where Clause in MySQL | Beginner MySQL Series,https://www.youtube.com/watch?v=MARn_mssG4A,7.7K views,"03 Dec, 2023"
Why Data Analysts Hate Using Excel,https://www.youtube.com/watch?v=TGAUZQJaQbQ,21K views,"03 Dec, 2023"
Select Statement in MySQL | Beginner MySQL Series,https://www.youtube.com/watch?v=HYD8KjPB9F8,16K views,"03 Dec, 2023"
Installing MySQL and Creating Databases | MySQL for Beginners,https://www.youtube.com/watch?v=wgRwITQHszU,37K views,"03 Nov, 2023"
How to Start a Data YouTube Channel,https://www.youtube.com/watch?v=QzLz-W29Tww,7.8K views,"03 Nov, 2023"
Consulting and Freelancing in Data Analytics | ATA Show: Episode 25,https://www.youtube.com/watch?v=aofB2t5o2ao,13K views,"03 Nov, 2023"
First Look at Analyst Builder! | The All-in-One Platform for Data Analysts | Beta Launch Coming Soon,https://www.youtube.com/watch?v=h4KTy2wxYcQ,31K views,"03 Nov, 2023"
"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",https://www.youtube.com/watch?v=_DGn-7134i0,32K views,"03 Oct, 2023"
AI and Analytics with SAS | SAS Explore Recap,https://www.youtube.com/watch?v=xuyKzpJ2SaY,10K views,"03 Oct, 2023"
"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",https://www.youtube.com/watch?v=bxIF9X9k2IE,39K views,"03 Oct, 2023"
"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",https://www.youtube.com/watch?v=7PoZBuIUnEU,38K views,"03 Oct, 2023"
Hard Skills vs Soft Skills in the Data World | Which is More Important?,https://www.youtube.com/watch?v=Xkb6h3YXl_c,12K views,"03 Oct, 2023"
"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",https://www.youtube.com/watch?v=qDprq7Xbrqw,36K views,"03 Sep, 2023"
Regular Expression Use Cases in Python,https://www.youtube.com/watch?v=_oCUSMX4_3k,6.4K views,"03 Sep, 2023"
How to Work with Recruiters on LinkedIn,https://www.youtube.com/watch?v=eON-PNPae8Y,24K views,"03 Sep, 2023"
Regular Expression Character Classes in Python,https://www.youtube.com/watch?v=9NB5u17qiDY,6.8K views,"03 Sep, 2023"
Regular Expression Metacharacters in Python,https://www.youtube.com/watch?v=j6A28L6Tmxw,4.8K views,"03 Aug, 2023"
Regular Expression Methods in Python,https://www.youtube.com/watch?v=EzeeypMKx7o,6K views,"03 Aug, 2023"
What are Hiring Managers Looking For? | Nail the Interview Process!,https://www.youtube.com/watch?v=OISvlkfbntY,19K views,"03 Aug, 2023"
Scraping Data from a Real Website | Web Scraping in Python,https://www.youtube.com/watch?v=8dTpNajxaH0,201K views,"03 Aug, 2023"
Find and Find_All | Web Scraping in Python,https://www.youtube.com/watch?v=xjA1HjvmoMY,27K views,"03 Aug, 2023"
BeautifulSoup + Requests | Web Scraping in Python,https://www.youtube.com/watch?v=bargNl2WeN4,54K views,"03 Jul, 2023"
Inspecting Web Pages with HTML | Web Scraping in Python,https://www.youtube.com/watch?v=q-kbzWjyPak,32K views,"03 Jul, 2023"
Best Places to Find Datasets for Your Projects,https://www.youtube.com/watch?v=PExdWWcxmro,49K views,"03 Jul, 2023"
Exploratory Data Analysis in Pandas | Python Pandas Tutorials,https://www.youtube.com/watch?v=Liv6eeb1VfE,73K views,"03 Jul, 2023"
What is Microsoft Fabric? | New Data Analytics Platform!,https://www.youtube.com/watch?v=5l2d_Rv0odE,158K views,"03 Jun, 2023"
Data Cleaning in Pandas | Python Pandas Tutorials,https://www.youtube.com/watch?v=bDhvCp3_lYw,171K views,"03 Jun, 2023"
State of AI in Analytics | Will AI be the End of Data Analysts?,https://www.youtube.com/watch?v=FpgkpjSyBOw,44K views,"03 Jun, 2023"
Google Bard Got An Upgrade! + Google's New AI Announcements!,https://www.youtube.com/watch?v=6jtS3Hz19kc,33K views,"03 Jun, 2023"
Creating Visualizations using Pandas Library | Python Pandas Tutorials,https://www.youtube.com/watch?v=JpSMse3eVVg,34K views,"03 Jun, 2023"
Merging DataFrames in Pandas | Python Pandas Tutorials,https://www.youtube.com/watch?v=TPivN7tpdwc,47K views,"03 May, 2023"
How to Integrate ChatGPT in Jupyter Notebooks for Free!,https://www.youtube.com/watch?v=2izXQUoXyjA,44K views,"03 May, 2023"
Google Business Intelligence Professional Certification Review,https://www.youtube.com/watch?v=PJINexERxOs,35K views,"03 May, 2023"
Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,https://www.youtube.com/watch?v=gTf2GLEhKgA,135K views,"03 May, 2023"
Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,https://www.youtube.com/watch?v=VRmXto2YA2I,37K views,"03 May, 2023"
Top 5 Biggest Mistakes Beginner Data Analysts Make,https://www.youtube.com/watch?v=6yNsc7JVPJE,37K views,"03 Apr, 2023"
Indexes in Pandas | Python Pandas Tutorials,https://www.youtube.com/watch?v=mBCG9J1TVTc,27K views,"03 Apr, 2023"
Create the Perfect Data Analyst Resume | Free Templates!,https://www.youtube.com/watch?v=WizLaDdsHUs,123K views,"03 Apr, 2023"
Filtering Columns and Rows in Pandas | Python Pandas Tutorials,https://www.youtube.com/watch?v=kB7FV-ijdqE,42K views,"03 Apr, 2023"
Reading in Files in Pandas | Python Pandas Tutorials,https://www.youtube.com/watch?v=dUpyC40cF6Q,80K views,"03 Mar, 2023"
Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,https://www.youtube.com/watch?v=gs0FNQR0njI,36K views,"03 Mar, 2023"
ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,https://www.youtube.com/watch?v=C75TROiiEa0,435K views,"03 Mar, 2023"
FREE Data Analyst Bootcamp!!,https://www.youtube.com/watch?v=rGx1QNdYzvs,798K views,"03 Mar, 2023"
How to Become a Data Analyst in 2023 (Completely FREE!),https://www.youtube.com/watch?v=CUBfrdDwznQ,913K views,"03 Feb, 2023"
DIY Data Analyst Curriculum using Udemy (Under $75),https://www.youtube.com/watch?v=S76iS03nGis,34K views,"03 Feb, 2023"
Reviewing Maven Analytics Free Portfolio Website,https://www.youtube.com/watch?v=RBEgsEVO3T8,21K views,"03 Feb, 2023"
DIY Data Analyst Curriculum using Coursera in 2023,https://www.youtube.com/watch?v=DXwFsxCtukg,58K views,"03 Feb, 2023"
Building a BMI Calculator with Python | Python Projects for Beginners,https://www.youtube.com/watch?v=ey1VNjU0YbM,47K views,"03 Feb, 2023"
"Reading, Writing, and Appending Files in Python | Python for Beginners",https://www.youtube.com/watch?v=0MKcCHrTo0c,5.9K views,"03 Feb, 2023"
Why I Quit my 125k Analytics Job,https://www.youtube.com/watch?v=bVJfQAe-UP4,154K views,"03 Feb, 2023"
Converting Data Types in Python | Python for Beginners,https://www.youtube.com/watch?v=B63bN2cLVLM,25K views,"03 Feb, 2023"
Functions in Python | Python for Beginners,https://www.youtube.com/watch?v=zvzjaqMBEso,32K views,"03 Feb, 2023"
While Loops in Python | Python for Beginners,https://www.youtube.com/watch?v=ECduJk00mUU,29K views,"03 Feb, 2023"
For Loops in Python | Python for Beginners,https://www.youtube.com/watch?v=zmIdC0_0BgY,32K views,"03 Feb, 2023"
If Else Statements in Python | Python for Beginners,https://www.youtube.com/watch?v=-BOBedcjySI,28K views,"03 Feb, 2023"
"Comparison, Logical, and Membership Operators in Python | Python for Beginners",https://www.youtube.com/watch?v=lPVke-p4S7s,30K views,"03 Feb, 2023"
Data Types in Python | Python for Beginners,https://www.youtube.com/watch?v=ppsCxnNm-JI,61K views,"03 Feb, 2023"
Variables in Python | Python for Beginners,https://www.youtube.com/watch?v=pHOH7UfOhbE,64K views,"03 Feb, 2023"
Installing Jupyter Notebooks/Anaconda | Python for Beginners,https://www.youtube.com/watch?v=WUeBzT43JyY,204K views,"03 Feb, 2023"
Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,https://www.youtube.com/watch?v=DVs9u15htXU,9.2K views,"03 Feb, 2023"
Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,https://www.youtube.com/watch?v=zW3qJUeJLWc,7.1K views,"03 Feb, 2023"
When Best Friends Work Together (ft. Luke Barousse),https://www.youtube.com/watch?v=m1AkWK_ODLM,15K views,"03 Feb, 2023"
Full Power BI Guided Project | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=pixlHHe_lNQ,281K views,"03 Feb, 2023"
Popular Visualizations in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=3NV5Jtbhfcw,58K views,"03 Feb, 2023"
"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",https://www.youtube.com/watch?v=1cfrQLoJMPI,52K views,"03 Feb, 2023"
How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=9j_EBt3RNrs,55K views,"03 Feb, 2023"
How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=m0h3Ghl6mgY,85K views,"03 Feb, 2023"
Interviewing Ken Jee | The Face of Data Science on YouTube,https://www.youtube.com/watch?v=tRCGGlMI19M,6.9K views,"03 Feb, 2023"
CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,https://www.youtube.com/watch?v=0QZBnhofU_U,23K views,"03 Feb, 2023"
How to use Drill Down in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=ulFY20KTzFQ,106K views,"03 Feb, 2023"
"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",https://www.youtube.com/watch?v=PEc29sRZoTM,18K views,"03 Feb, 2023"
How to use DAX in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=vcijg0gUXSg,108K views,"03 Feb, 2023"
Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,https://www.youtube.com/watch?v=gCg47n_TlFc,21K views,"03 Feb, 2023"
How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=sW5LoDA1ssM,128K views,"03 Feb, 2023"
Machine Learning Specialization on Coursera | Review,https://www.youtube.com/watch?v=4nsdARJGzJ0,22K views,"03 Feb, 2023"
Meta Marketing Analytics Professional Certificate on Coursera | Review,https://www.youtube.com/watch?v=_QvQxm4dptI,31K views,"03 Feb, 2023"
Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,https://www.youtube.com/watch?v=HX2TabgkzHo,45K views,"03 Feb, 2023"
